year,temp_1,temp_2
1880,69.84,69.92
1881,69.93,69.88
1882,69.9,69.84
1883,69.84,69.81
1884,69.72,69.77
1885,69.68,69.75
1886,69.69,69.74
1887,69.65,69.73
1888,69.83,69.74
1889,69.9,69.75
1890,69.65,69.75
1891,69.78,69.75
1892,69.73,69.74
1893,69.69,69.74
1894,69.7,69.77
1895,69.78,69.78
1896,69.89,69.8
1897,69.89,69.82
1898,69.74,69.84
1899,69.83,69.83
1900,69.93,69.81
1901,69.85,69.77
1902,69.73,69.75
1903,69.64,69.72
1904,69.54,69.7
1905,69.74,69.67
1906,69.78,69.65
1907,69.62,69.63
1908,69.58,69.61
1909,69.52,69.6
1910,69.57,69.59
1911,69.57,69.62
1912,69.65,69.66
1913,69.66,69.68
1914,69.85,69.7
1915,69.87,69.7
1916,69.65,69.71
1917,69.55,69.71
1918,69.71,69.71
1919,69.73,69.71
1920,69.73,69.73
1921,69.82,69.74
1922,69.72,69.75
1923,69.74,69.76
1924,69.73,69.77
1925,69.78,69.78
1926,69.9,69.78
1927,69.79,69.79
1928,69.8,69.81
1929,69.64,69.81
1930,69.84,69.81
1931,69.91,69.81
1932,69.84,69.82
1933,69.71,69.83
1934,69.88,69.84
1935,69.8,69.86
1936,69.85,69.89
1937,69.97,69.94
1938,70,69.99
1939,69.98,70.03
1940,70.13,70.06
1941,70.18,70.09
1942,70.07,70.11
1943,70.09,70.1
1944,70.2,70.07
1945,70.09,70.04
1946,69.93,70
1947,69.97,69.96
1948,69.89,69.93
1949,69.89,69.92
1950,69.83,69.92
1951,69.93,69.93
1952,70.01,69.93
1953,70.08,69.93
1954,69.87,69.93
1955,69.86,69.94
1956,69.81,69.95
1957,70.05,69.96
1958,70.06,69.99
1959,70.03,70.01
1960,69.97,70.03
1961,70.06,70.01
1962,70.03,69.99
1963,70.05,69.97
1964,69.8,69.96
1965,69.89,69.95
1966,69.94,69.94
1967,69.98,69.95
1968,69.92,69.97
1969,70.05,69.98
1970,70.03,70
1971,69.92,70
1972,70.01,70
1973,70.16,70
1974,69.93,70.01
1975,69.99,70.02
1976,69.9,70.04
1977,70.18,70.07
1978,70.07,70.12
1979,70.16,70.16
1980,70.26,70.2
1981,70.32,70.21
1982,70.14,70.22
1983,70.31,70.21
1984,70.16,70.21
1985,70.12,70.22
1986,70.18,70.24
1987,70.32,70.27
1988,70.39,70.31
1989,70.27,70.33
1990,70.45,70.33
1991,70.41,70.33
1992,70.22,70.33
1993,70.23,70.33
1994,70.32,70.34
1995,70.45,70.37
1996,70.33,70.4
1997,70.46,70.42
1998,70.61,70.44
1999,70.38,70.47
2000,70.39,70.5
2001,70.54,70.52
2002,70.63,70.55
2003,70.62,70.59
2004,70.54,70.61
2005,70.68,70.62
2006,70.64,70.63
2007,70.67,70.64
2008,70.55,70.64
2009,70.66,70.65
2010,70.72,70.65
2011,70.61,70.67
2012,70.65,70.7
2013,70.68,70.74
2014,70.75,70.79
2015,70.9,70.83
2016,71.02,70.88
2017,70.93,70.92
2018,70.85,70.95
2019,70.99,70.98
2020,71.02,71.01
